,geometry,nIDC,nBLDG,heated_area,footprint_area,idc_norm,idc_norm_foot,idc_abs
2509,"POLYGON ((2495900 1114600, 2496200 1114600, 2496200 1114900, 2495900 1114900, 2495900 1114600))",1.0,39.0,192.19639358965642,82.81071389356616,0.13250000000000003,0.30752086237730186,25.466022150629477
2510,"POLYGON ((2495900 1114900, 2496200 1114900, 2496200 1115200, 2495900 1115200, 2495900 1114900))",1.0,166.0,278.8036064099197,120.12673730080246,0.13250000000000003,0.3075208623773018,36.94147784931437
2511,"POLYGON ((2495900 1115200, 2496200 1115200, 2496200 1115500, 2495900 1115500, 2495900 1115200))",25.0,156.0,18376.057957518424,5586.525572570002,0.11635397008919338,0.3785441741750414,2114.7467093762616
2512,"POLYGON ((2495900 1115500, 2496200 1115500, 2496200 1115800, 2495900 1115800, 2495900 1115500))",55.0,58.0,38583.25149878238,11913.51750902336,0.1379864459546749,0.432790992146407,5156.063062683812
2513,"POLYGON ((2495900 1115800, 2496200 1115800, 2496200 1116100, 2495900 1116100, 2495900 1115800))",0.0,5.0,0.0,0.0,,,0.0
2514,"POLYGON ((2495900 1116100, 2496200 1116100, 2496200 1116400, 2495900 1116400, 2495900 1116100))",4.0,9.0,3981.0,2033.2820871973345,0.17151864840569978,0.33913903913048615,689.5653333333333
2515,"POLYGON ((2495900 1116400, 2496200 1116400, 2496200 1116700, 2495900 1116700, 2495900 1116400))",0.0,6.0,0.0,0.0,,,0.0
2516,"POLYGON ((2495900 1116700, 2496200 1116700, 2496200 1117000, 2495900 1117000, 2495900 1116700))",1.0,21.0,1397.704755234333,938.604045806159,0.12083333333333332,0.17993671063473593,168.88932459081525
2517,"POLYGON ((2495900 1117000, 2496200 1117000, 2496200 1117300, 2495900 1117300, 2495900 1117000))",3.0,30.0,4764.168980978637,1037.5575402617014,0.1167484705691371,0.521720786773543,541.315336228157
2518,"POLYGON ((2495900 1117300, 2496200 1117300, 2496200 1117600, 2495900 1117600, 2495900 1117300))",13.0,41.0,56069.39380472546,2834.2076481218105,0.12095167741649482,2.425658403613721,6874.81959925295
2519,"POLYGON ((2495900 1117600, 2496200 1117600, 2496200 1117900, 2495900 1117900, 2495900 1117600))",7.0,8.0,29633.612852530146,3745.921260026233,0.08163640295287088,0.9026968414458834,3381.431289730664
2520,"POLYGON ((2495900 1117900, 2496200 1117900, 2496200 1118200, 2495900 1118200, 2495900 1117900))",0.0,2.0,0.0,0.0,,,0.0
2521,"POLYGON ((2495900 1118200, 2496200 1118200, 2496200 1118500, 2495900 1118500, 2495900 1118200))",0.0,0.0,0.0,0.0,,,0.0
2522,"POLYGON ((2495900 1118500, 2496200 1118500, 2496200 1118800, 2495900 1118800, 2495900 1118500))",2.0,11.0,713.3,320.0288376925109,0.4834736093744394,1.0837785475512023,346.84038888888887
2523,"POLYGON ((2495900 1118800, 2496200 1118800, 2496200 1119100, 2495900 1119100, 2495900 1118800))",3.0,20.0,1535.630075724305,660.799293920935,0.11349212701938607,0.27928039444264674,184.5482874536612
2524,"POLYGON ((2495900 1119100, 2496200 1119100, 2496200 1119400, 2495900 1119400, 2495900 1119100))",44.0,77.0,43790.83436856861,10083.392713843285,0.11821254423358547,0.5179081249711518,5222.271013774349
2525,"POLYGON ((2495900 1119400, 2496200 1119400, 2496200 1119700, 2495900 1119700, 2495900 1119400))",10.0,86.0,10217.589689752464,2493.4315992419397,0.16139477069263025,0.6439517955017586,1605.6497552926685
2526,"POLYGON ((2495900 1119700, 2496200 1119700, 2496200 1120000, 2495900 1120000, 2495900 1119700))",9.0,61.0,6000.68,5031.90168442149,0.08369527034326328,0.10178840016050666,512.1892222222222
2527,"POLYGON ((2495900 1120000, 2496200 1120000, 2496200 1120300, 2495900 1120300, 2495900 1120000))",0.0,3.0,0.0,0.0,,,0.0
2528,"POLYGON ((2495900 1120300, 2496200 1120300, 2496200 1120600, 2495900 1120600, 2495900 1120300))",0.0,8.0,0.0,0.0,,,0.0
2529,"POLYGON ((2495900 1120600, 2496200 1120600, 2496200 1120900, 2495900 1120900, 2495900 1120600))",0.0,2.0,0.0,0.0,,,0.0
2530,"POLYGON ((2495900 1120900, 2496200 1120900, 2496200 1121200, 2495900 1121200, 2495900 1120900))",0.0,0.0,0.0,0.0,,,0.0
2531,"POLYGON ((2495900 1121200, 2496200 1121200, 2496200 1121500, 2495900 1121500, 2495900 1121200))",0.0,156.0,0.0,0.0,,,0.0
2532,"POLYGON ((2495900 1121500, 2496200 1121500, 2496200 1121800, 2495900 1121800, 2495900 1121500))",1.0,184.0,153.3,66.73469612649338,0.125,0.28714448573614726,19.1625
2533,"POLYGON ((2495900 1121800, 2496200 1121800, 2496200 1122100, 2495900 1122100, 2495900 1121800))",0.0,8.0,0.0,0.0,,,0.0
2578,"POLYGON ((2496200 1111900, 2496500 1111900, 2496500 1112200, 2496200 1112200, 2496200 1111900))",0.0,18.0,0.0,0.0,,,0.0
2579,"POLYGON ((2496200 1112200, 2496500 1112200, 2496500 1112500, 2496200 1112500, 2496200 1112200))",17.0,46.0,14298.315781109415,4430.597286031327,0.13687018892383707,0.44320996738970275,1963.6848786588496
2580,"POLYGON ((2496200 1112500, 2496500 1112500, 2496500 1112800, 2496200 1112800, 2496200 1112500))",32.0,69.0,28592.423815481034,9517.484115804113,0.1394194866486284,0.42809970262647734,4074.4321197279623
2581,"POLYGON ((2496200 1112800, 2496500 1112800, 2496500 1113100, 2496200 1113100, 2496200 1112800))",0.0,9.0,0.0,0.0,,,0.0
