,idc_abs,heated_area,geometry
13063,8.766375289916992,62.646461486816406,POINT (2508415.321594553 1129002.225168044)
13064,47.53184031677246,317.5832214355469,POINT (2508518.86457821 1129002.225168044)
13065,42.19665496826172,265.7575378417969,POINT (2508622.407561867 1129002.225168044)
13066,33.229350048065186,168.11184692382812,POINT (2508725.950545525 1129002.225168044)
13067,3.1186810040473936,17.964597702026367,POINT (2508829.493529183 1129002.225168044)
13078,0.463632873058319,2.975158214569092,POINT (2509968.466349416 1129002.225168044)
13079,98.92470256042479,681.4454345703125,POINT (2510072.009333074 1129002.225168044)
13095,2.768808841943741,17.52199363708496,POINT (2511728.697071595 1129002.225168044)
13096,421.8046238708496,2443.8662109375,POINT (2511832.240055253 1129002.225168044)
13097,374.4164865722656,2161.233154296875,POINT (2511935.78303891 1129002.225168044)
13098,369.7790557556152,1940.922607421875,POINT (2512039.326022568 1129002.225168044)
13099,393.3408495178222,2002.2005615234373,POINT (2512142.869006225 1129002.225168044)
13100,381.3694401245117,1912.9552001953125,POINT (2512246.411989883 1129002.225168044)
13101,386.2837657165527,1916.968994140625,POINT (2512349.954973541 1129002.225168044)
13102,591.2294835815429,2957.90087890625,POINT (2512453.497957198 1129002.225168044)
13103,364.00680169677725,1870.9947509765625,POINT (2512557.040940856 1129002.225168044)
13104,246.08828327941893,1254.400146484375,POINT (2512660.583924513 1129002.225168044)
13105,278.32502728271476,1435.6383056640625,POINT (2512764.126908171 1129002.225168044)
13122,1.3181113090515135,7.984807014465331,POINT (2487913.81083035 1128898.809747609)
13123,2.126149531722069,13.086919784545898,POINT (2488017.353814008 1128898.809747609)
13155,13.395617719650266,99.20250701904298,POINT (2491330.72929105 1128898.809747609)
13162,0.8968322584629058,6.8200273513793945,POINT (2492055.530176654 1128898.809747609)
13180,82.08126639556883,400.2096557617188,POINT (2493919.30388249 1128898.809747609)
13182,88.12480758666992,483.43206787109375,POINT (2494126.389849806 1128898.809747609)
13183,161.41141488647457,906.2229614257811,POINT (2494229.932833463 1128898.809747609)
13184,90.54221751403807,499.2462768554688,POINT (2494333.475817121 1128898.809747609)
13204,104.41108961486816,664.4624633789064,POINT (2496404.335490272 1128898.809747609)
13205,82.24312671661377,411.6573486328125,POINT (2496507.87847393 1128898.809747609)
13206,130.6831678161621,628.286376953125,POINT (2496611.421457588 1128898.809747609)
13207,243.10388742065427,1154.9739990234375,POINT (2496714.964441245 1128898.809747609)
13208,198.0553734436035,885.5463256835938,POINT (2496818.507424902 1128898.809747609)
13209,130.7446390457153,732.5413818359375,POINT (2496922.05040856 1128898.809747609)
13210,45.28030611038208,252.92691040039065,POINT (2497025.593392218 1128898.809747609)
13242,1.4564284827709197,8.507741928100588,POINT (2500338.968869261 1128898.809747609)
13256,13.102042252540588,103.25245666503906,POINT (2501788.570640467 1128898.809747609)
13258,70.06964569854736,769.9006958007811,POINT (2501995.656607782 1128898.809747609)
13259,70.55385954284668,659.5421752929688,POINT (2502099.19959144 1128898.809747609)
13260,191.32158459472654,1684.32470703125,POINT (2502202.742575097 1128898.809747609)
13261,168.20886071777343,1387.2965087890625,POINT (2502306.285558755 1128898.809747609)
13262,23.496769660949703,214.52957153320312,POINT (2502409.828542412 1128898.809747609)
13263,119.28330414581298,978.5916748046876,POINT (2502513.371526069 1128898.809747609)
13264,58.34196821594237,487.3537292480469,POINT (2502616.914509728 1128898.809747609)
13265,117.75091128540039,993.7103881835936,POINT (2502720.457493385 1128898.809747609)
13266,134.1182380828857,1117.0125732421875,POINT (2502824.000477043 1128898.809747609)
13267,105.34572409057618,845.2778930664062,POINT (2502927.5434607 1128898.809747609)
13268,222.65201885986326,1789.3101806640625,POINT (2503031.086444357 1128898.809747609)
13269,29.416471988677976,181.17105102539065,POINT (2503134.629428016 1128898.809747609)
13316,2.8229098069667815,21.604686737060543,POINT (2508001.149659921 1128898.809747609)
13317,13.072121178627013,93.03959655761719,POINT (2508104.69264358 1128898.809747609)
13318,20.91671761703491,121.56136322021484,POINT (2508208.235627237 1128898.809747609)
13319,4.310145023345947,24.519050598144528,POINT (2508311.778610895 1128898.809747609)
13320,20.24313734817505,114.99299621582033,POINT (2508415.321594553 1128898.809747609)
13321,67.78818632507324,461.20013427734375,POINT (2508518.86457821 1128898.809747609)
13322,64.48740069198608,372.54006958007807,POINT (2508622.407561867 1128898.809747609)
13323,20.6420740852356,106.73651123046876,POINT (2508725.950545525 1128898.809747609)
13352,53.24891434860229,360.16583251953125,POINT (2511728.697071595 1128898.809747609)
13353,245.02658042907714,1458.0390625,POINT (2511832.240055253 1128898.809747609)
13354,324.4132719726562,1902.6319580078125,POINT (2511935.78303891 1128898.809747609)
13355,318.76702206420896,1636.2596435546875,POINT (2512039.326022568 1128898.809747609)
13356,331.47654464721677,1683.2568359375,POINT (2512142.869006225 1128898.809747609)
13357,364.53252847290037,1832.611328125,POINT (2512246.411989883 1128898.809747609)
13358,352.7810369262695,1796.12744140625,POINT (2512349.954973541 1128898.809747609)
13359,472.2224929809571,2390.891357421875,POINT (2512453.497957198 1128898.809747609)
13360,361.3275107421875,1867.124267578125,POINT (2512557.040940856 1128898.809747609)
13361,145.04367877197265,739.034423828125,POINT (2512660.583924513 1128898.809747609)
13362,217.30411193847655,1103.406494140625,POINT (2512764.126908171 1128898.809747609)
13422,32.993806524276735,229.0585784912109,POINT (2492366.159127627 1128795.394327174)
13437,122.57755298614504,598.4337768554688,POINT (2493919.30388249 1128795.394327174)
13439,51.46933494186401,294.8133239746094,POINT (2494126.389849806 1128795.394327174)
13440,104.6163784713745,599.520751953125,POINT (2494229.932833463 1128795.394327174)
13441,250.76541784667967,1462.026123046875,POINT (2494333.475817121 1128795.394327174)
13444,2.787801663160324,15.263986587524414,POINT (2494644.104768094 1128795.394327174)
13461,106.75751578521725,679.8818359375,POINT (2496404.335490272 1128795.394327174)
13462,205.74021856689453,993.8463745117188,POINT (2496507.87847393 1128795.394327174)
13463,376.92756460571286,1734.211181640625,POINT (2496611.421457588 1128795.394327174)
13464,104.8399801712036,486.3240966796875,POINT (2496714.964441245 1128795.394327174)
13465,69.69417919921875,385.2510681152344,POINT (2496818.507424902 1128795.394327174)
13466,73.58711966705322,408.1941528320313,POINT (2496922.05040856 1128795.394327174)
13467,17.666711853027344,112.04344940185545,POINT (2497025.593392218 1128795.394327174)
13513,6.93306279182434,55.27356719970703,POINT (2501788.570640467 1128795.394327174)
13514,162.92975180053708,1709.593017578125,POINT (2501892.113624124 1128795.394327174)
13515,138.23087536621094,1457.4625244140625,POINT (2501995.656607782 1128795.394327174)
13516,240.65928247070312,2025.99365234375,POINT (2502099.19959144 1128795.394327174)
13517,219.6267731628418,1778.860107421875,POINT (2502202.742575097 1128795.394327174)
13518,91.34289071655273,1061.9254150390625,POINT (2502306.285558755 1128795.394327174)
13519,19.66099031448364,199.989990234375,POINT (2502409.828542412 1128795.394327174)
